Datum,Kl,Essingeleden,Hornsgatan innerstadsgata,Sveav�gen innerstadsgata,Uppsala innerstadsgata,Torkel Knutssonsgatan t�tort,Norr Malma landsbygd,Folkungagatan innerstadsgata,Uppsala t�tort,
2015-01-10,15:00,2.70125,0.628924,0,-0.862,0,-0.08687,0,-0.913999,
2015-01-10,16:00,0.32635,0.7982,0,-1.5639,0,-1.089,0,-0.639691,
2015-01-10,17:00,0.666899,0.649674,0,-2.0675,0,-2.306,0,-1.56435,
2015-01-10,18:00,3.1125,1.98732,0,2.25682,0,-0.578099,0,0.730999,
2015-01-10,19:00,4.16474,4.95,0,3.34275,3.63766,1.012,0,2.15812,
2015-01-10,20:00,4.59274,4.40575,4.47475,2.863,3.1455,1.771,0,4.31874,
2015-01-10,21:00,3.394,4.57624,5.18524,2.58625,4.30949,2.565,0,2.42475,
2015-01-10,22:00,2.07724,4.33974,8.17174,3.65875,4.99574,2.814,0,1.94,
2015-01-10,23:00,5.63374,5.19299,7.20224,2.81025,4.38,2.863,0,1.72725,
2015-01-11,00:00,2.9975,4.62174,6.94499,3.69275,3.89799,2.448,0,2.75575,
2015-01-11,01:00,1.78247,3.332,3.9575,4.60374,2.285,1.915,0,3.53525,
2015-01-11,02:00,2.57975,4.38374,4.60549,5.34124,4.29675,2.125,0,3.22499,
2015-01-11,03:00,2.7175,4.69025,2.95567,2.0525,3.47725,2.453,0,1.24812,
2015-01-11,04:00,2.4616,2.56325,2.824,1.50097,1.68472,1.494,0,0.743363,
2015-01-11,05:00,-0.997247,1.34715,-0.3673,1.88702,-1.04972,0.6979,0,2.02617,
2015-01-11,06:00,-0.25205,1.03837,-0.450175,1.73847,0.73408,0.978399,0,1.81925,
2015-01-11,07:00,0.952074,2.679,2.32625,4.65024,1.81882,1.315,0,3.13125,
2015-01-11,08:00,3.67825,5.40874,2.41925,5.84799,4.1945,3.549,0,4.44024,
2015-01-11,09:00,5.31725,6.7625,4.82475,5.18074,6.44174,4.684,0,4.92899,
2015-01-11,10:00,5.0285,6.62799,7.48199,4.994,6.2785,5.23499,0,5.45974,
2015-01-11,11:00,4.48374,5.90724,5.10374,4.77799,4.72649,5.786,0,3.07775,
2015-01-11,12:00,5.26875,5.21399,5.11399,6.91124,4.47174,5.366,0,3.9085,
2015-01-11,13:00,6.48349,7.675,8.07524,6.95424,6.46524,4.946,0,4.44174,
2015-01-11,14:00,6.10049,5.68824,6.33499,7.68424,5.27874,5.296,0,6.06774,
2015-01-11,15:00,7.62149,5.783,5.34999,7.06799,4.55699,5.63699,0,7.28624,
2015-01-11,16:00,6.88625,6.68874,3.7205,6.60249,4.66274,5.80299,0,6.62899,
2015-01-11,17:00,4.90524,6.644,3.81775,8.25549,5.74525,5.975,0,8.29424,
2015-01-11,18:00,6.94424,7.18324,5.75999,8.02499,6.23074,5.445,0,7.65224,
2015-01-11,19:00,8.66499,8.06949,8.39949,7.43749,6.46049,4.904,0,8.1375,
2015-01-11,20:00,9.08798,8.40948,8.48474,10.0647,7.77324,5.258,0,8.57573,
2015-01-11,21:00,9.48724,9.21173,9.58249,8.73099,8.88774,5.62299,0,8.45024,
2015-01-11,22:00,8.78824,9.75124,7.95749,6.50824,7.36224,6.02,0,8.61848,
2015-01-11,23:00,9.63324,9.54424,6.461,9.12573,7.80824,6.42599,0,8.16899,
2015-01-12,00:00,8.76474,8.95123,6.43949,9.16399,7.7645,6.13699,0,8.91924,
2015-01-12,01:00,8.79698,8.4825,5.96299,7.00649,6.97124,5.841,0,6.10899,
2015-01-12,02:00,7.61324,7.57499,6.59525,7.26724,8.48398,5.88,0,8.49974,
2015-01-12,03:00,6.41,7.00599,4.30599,5.52999,7.19399,5.96,0,6.99849,
2015-01-12,04:00,6.54475,7.52775,5.49574,6.00999,6.25599,4.923,0,4.75825,
2015-01-12,05:00,5.97199,7.87975,4.08775,4.61774,7.01374,3.882,0,4.09274,
2015-01-12,06:00,5.14024,6.20549,4.035,4.22624,4.57249,3.496,0,2.954,
2015-01-12,07:00,5.63674,8.13724,4.34324,6.24899,4.70149,3.105,0,4.6385,
2015-01-12,08:00,7.45224,9.59123,5.07475,8.26224,7.33624,3.918,0,5.81425,
2015-01-12,09:00,5.75275,7.21049,3.48875,6.86224,6.64349,4.729,0,6.28474,
2015-01-12,10:00,4.85075,5.94049,2.93962,4.44099,6.89849,4.384,0,5.86475,
2015-01-12,11:00,2.881,6.15974,2.52475,5.86324,4.02625,4.03699,0,6.4975,
2015-01-12,12:00,3.79124,6.04275,3.92924,3.80799,4.6545,3.452,0,4.48975,
2015-01-12,13:00,1.79847,4.07974,1.05089,3.313,3.47599,2.773,0,2.559,
2015-01-12,14:00,1.64575,0.8936,-1.39622,3.26625,2.2655,2.554,0,3.0295,
2015-01-12,15:00,3.60375,2.18232,0.000499964,4.25475,1.14925,2.24,0,1.55437,
2015-01-12,16:00,3.5525,3.48249,4.60649,3.698,2.819,0.5502,0,2.04045,
2015-01-12,17:00,1.96275,3.76775,5.3865,1.97435,2.465,-1.142,0,-0.445142,
2015-01-12,18:00,2.6095,2.3495,1.8855,0.265075,2.67525,-1.044,0,1.29632,
